station,daily_avg,total_trips,mape,rmse,mae,correlation,mape_rank
Columbia Rd & Georgia Ave NW,36.96032831737346,54036,37.53973513573237,12.980800622082162,10.29266713219484,0.7233109381767104,115.0
4th & Florida Ave NE,71.99110807113543,105251,37.60759741154052,34.0686317258066,28.284276772042272,0.8070694716285359,116.0
39th & Calvert St NW / Stoddert,21.06361149110807,30795,37.77166930752448,11.398768578792025,9.395286370464536,0.7355642643829066,117.0
17th St & Massachusetts Ave NW,40.34678522571819,58987,37.80506973705385,14.454620491250603,11.261811189961286,0.6898672921056014,118.0
Park Pl & Rock Creek Church Rd NW,16.312585499316004,23849,38.06009307143172,9.677709028548401,7.799315557873401,0.7163532354314324,119.0
Crystal City Metro / 18th St & S Bell St,18.19562243502052,26602,38.1449441837918,6.467057727018592,5.164432711075953,0.7659003394367415,120.0
Clarendon Blvd & Pierce St,12.939124487004104,18917,38.27588706497047,6.078643478076533,4.823550347273706,0.7717270759305443,121.0
12th & L St NW,38.524623803009575,56323,38.287074459202735,13.498490033061582,10.333729479162011,0.7379064009909759,122.0
Neal St & Trinidad Ave NE,13.53419972640219,19787,38.35405766710353,5.569287481841841,4.458132823621369,0.7457094170422323,123.0
Virginia Ave & 25th St NW,28.007523939808483,40947,38.7004662080542,11.340657908138267,8.376371154338019,0.6903907414527058,124.0
Hamlin & 7th St NE,14.733242134062927,21540,38.714053809364366,8.018514624961389,6.436899124116536,0.6595920022155558,125.0
17th & G St NW,41.77975376196991,61082,38.99554138682294,15.513591069975444,11.587479415838098,0.7510386182610634,126.0
Kansas Ave & Sherman Cr NW,16.98016415868673,24825,39.07669696400782,7.404601825030406,5.785702149756261,0.5615811625172364,127.0
22nd & P ST NW,47.222298221614224,69039,39.1415898465309,16.578873178637476,12.821066520135528,0.7889181859358854,128.0
4th & G St SW,37.22093023255814,54417,39.27632512909792,15.178431658893372,11.927987196706646,0.7678179040270274,129.0
15th & Euclid St NW,47.31190150478796,69170,39.48963502033324,25.07569711178959,20.80448475300697,0.7613941674398602,130.0
17th & P St NW,65.02051983584131,95060,39.69794528584161,27.733810260603416,22.85954766267026,0.7867541323344814,131.0
1st & K St NE,57.85430916552668,84583,39.796795859400035,19.905214227989948,13.883122504419285,0.7879565352384078,132.0
Connecticut Ave & Macomb St NW / Cleveland Park,15.454172366621068,22594,39.886973382987996,6.971309640496017,5.618004455815277,0.6693900545259402,133.0
MBT & Bryant St NE,42.16415868673051,61644,40.02344109850853,18.671661200565804,14.93446811029625,0.8054842665588008,134.0
Thomas Circle,60.238030095759235,88068,40.15607036724168,19.95609862284364,16.173224432628235,0.7340461704383308,135.0
7th & E St SW,15.412448700410396,22533,40.16502601160195,7.1631562313745745,5.426446518219629,0.6738475307791689,136.0
M St & Pennsylvania Ave NW,43.22777017783858,63199,40.324431672540264,47.03361452302827,38.51792189854757,0.057897021610676724,137.0
8th & Eye St SE / Barracks Row,17.27838577291382,25261,40.43981484371427,6.700103137811035,5.319754756143522,0.7215328450027035,138.0
Georgia Ave & Fairmont St NW,15.164158686730506,22170,40.55150738008037,8.461439188528079,6.671629539407146,0.7229125033384856,139.0
12th St & Pennsylvania Ave SE,18.660054719562243,27281,40.6199150401146,6.450936653720408,5.029839830722916,0.7114277675582054,140.0
14th & G St NW,28.891928864569085,42240,41.01857176976031,11.694746744849647,8.725124072835316,0.650884253364767,141.0
Ballston Metro / Stuart St & 9th St N,20.03830369357045,29296,41.15096375483272,8.183745327324896,6.340907294631846,0.7889112893900172,142.0
Reservoir Rd & 38th St NW,32.39945280437757,47368,41.17424127565779,18.338234319065112,14.907676725598181,0.7998725942169168,143.0
Maryland Ave & E St NE,34.30232558139535,50150,41.27106284831164,15.052320185981522,11.319030637417038,0.6504098586909749,144.0
Takoma Metro,19.29206566347469,28205,41.57791558702676,12.57846184755268,10.00901772101486,0.7498424653515801,145.0
New Hampshire Ave & Ward Pl NW,61.84678522571819,90420,41.70304520858379,24.05124253162787,19.81364465449466,0.7562834771104631,146.0
Maine Ave & 7th St SW,53.1703146374829,77735,41.74406319900864,21.80260000427563,17.38023417064814,0.7949645553394572,147.0
Eastern Market / 7th & North Carolina Ave SE,43.71887824897401,63917,41.764805210947095,17.8376802982891,14.640378638752985,0.7992512482060609,148.0
14th & Otis Pl NW,45.35909712722298,66315,42.169605326182705,22.05656225710429,17.679859849199282,0.6971410563768787,149.0
Fort Totten Metro,25.816005471956224,37743,42.27631491373472,16.41777900831149,13.251979062459794,0.6997500717782474,150.0
14th & L St NW,33.24418604651163,48603,42.33951602251545,9.84680668899187,7.692693584399623,0.7776538842571802,151.0
15th & K St NW,24.883036935704514,36379,42.367146582284555,8.116930587493034,6.344058853841237,0.7986139372649567,152.0
16th & Irving St NW,39.82831737346101,58229,42.47682244332629,20.270754761202806,16.365983462085747,0.5601954109663345,153.0
Wilson Blvd & N Quinn St,14.370725034199726,21010,42.49441362696973,6.567231291867962,5.0822731739852465,0.7362220833590061,154.0
New Hampshire & Gallatin St NW,12.825581395348838,18751,42.524152156178694,6.423939604529111,5.18218543437958,0.6323875594030792,155.0
1st & M St NE,97.03351573187415,141863,42.57103381665142,38.36796448584107,29.148459811578835,0.7517604641983789,156.0
Rosslyn Metro / Wilson Blvd & N Moore St,28.053351573187413,41014,42.60461972697975,12.252888235512541,9.860013204747567,0.7755860983132092,157.0
8th & East Capitol St NE,18.303009575923394,26759,42.62202331896175,7.545230945953963,6.1510167463794225,0.6860324085874344,158.0
Eads St & 12th St S,19.49863201094391,28507,42.64470458465373,8.58120844469207,6.831474110162753,0.810604013819838,159.0
Clarendon Metro / Wilson Blvd & N Highland St,26.090971272229822,38145,42.728757156712504,10.850775307972055,8.363877904519628,0.765860020074067,160.0
10th & G St NW,24.234610123119015,35431,42.809420267046114,10.261099137108763,7.692940373250876,0.5435247624528567,161.0
2nd & V St SW / James Creek Marina,14.91655266757866,21808,42.86538724777049,8.015221716633413,6.285562958313938,0.6992047495851422,162.0
M St & New Jersey Ave SE,21.846785225718193,31940,43.052830478019324,10.247252733073323,8.093564756207156,0.7133878377029145,163.0
11th & Kenyon St NW,63.45075239398085,92765,43.08504232457553,31.929804997322552,26.77588718966254,0.6594589936365749,164.0
Maine Ave & Water St SW,19.389192886456907,28347,43.708175502952926,10.596068377051822,7.9980738456925184,0.7409225149355042,165.0
Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,15.911080711354309,23262,43.732060483446254,6.807969103246228,5.516217026138391,0.6992708364470808,166.0
21st & I St NW,47.454172366621066,69378,43.951281740819056,13.856176651470726,10.627663765168665,0.854800103062119,167.0
19th & East Capitol St SE,14.011627906976743,20485,44.08334370810962,6.998256751792883,5.6121985213457615,0.6340376085009856,168.0
22nd & H St NW,26.7749658002736,39145,44.10835349055942,8.85844205074089,6.70630007333509,0.7907473381263027,169.0
Calvert & Biltmore St NW,21.658686730506155,31665,44.45018920852636,9.290681625884082,7.2301138685541195,0.6957161597487295,170.0
